# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639177.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0009	      +inf	 +0.0230	 +3.2382
1779639177.769	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0005	      +inf	 +0.0320	 +3.2352
1779639177.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0005	      +inf	 +0.0263	 +3.2373
1779639177.969	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0011	 +4603.926	 +0.0150	 +3.2477
1779639178.069	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0003	      +inf	 +0.0297	 +3.2530
1779639178.169	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0007	      +inf	 +0.0259	 +3.2490
1779639178.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0003	      +inf	 +0.0323	 +3.2375
1779639178.369	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0010	      +inf	 +0.0171	 +3.2472
1779639178.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0004	      +inf	 +0.0302	 +3.2343
1779639178.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0301	 +3.2497
1779639178.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0007	      +inf	 +0.0277	 +3.2371
1779639178.768	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0005	      +inf	 +0.0183	 +3.2370
1779639178.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0005	      +inf	 +0.0328	 +3.2384
1779639178.968	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0286	 +3.2499
1779639179.069	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0007	      +inf	 +0.0322	 +3.2331
1779639179.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0276	 +3.2518
1779639179.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0002	      +inf	 +0.0264	 +3.2464
1779639179.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0318	 +3.2402
1779639179.469	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0009	      +inf	 +0.0303	 +3.2463
1779639179.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0170	 +3.2402
1779639179.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0008	      +inf	 +0.0292	 +3.2388
1779639179.768	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0292	 +3.2457
1779639179.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0010	      +inf	 +0.0322	 +3.2367
1779639179.968	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0174	 +3.2523
1779639180.068	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0009	      +inf	 +0.0156	 +3.2390
1779639180.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0006	      +inf	 +0.0325	 +3.2514
1779639180.269	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0008	      +inf	 +0.0181	 +3.2456
1779639180.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0011	 +4644.751	 +0.0171	 +3.2481
